,District No.,District Name,Location Address,Land Area in Square Miles,Home County,K-12 Enrollment Fall 2017,"Dropout Rate
 (%)",Attendance Rate,Free & Reduced Lunch Eligibility Percentage,Percent of Special Education Students,Average Teacher Salary,Teacher - Avg Yrs of Experience,Teacher - % with Advanced Degree,ACT Composite Score,No. of Students Taking the ACT,Instructional Days,Instructional Minutes,Instructional Hours,4_day_bin,county_population,zip
102,23003,Oelrichs School District 23-3,"214 W 7th St, Oelrichs, SD  57763",563.8,Fall River,134,0.0,0.8647,,0.1831,"41,710 ",4.4,0.1842,,8,163.33333333333334,60788.0,1013.1333333333333,0.0,6783.0,57763
103,65001,Oglala Lakota County School District 65-1,"206 School St, Batesland, SD  57716",2099.17,Oglala Lakota,1368,0.069,0.9304,,0.2327,"54,933 ",10.5,0.1667,,1,161.0,61405.0,1023.4166666666666,0.0,14291.0,57716
104,39005,Oldham-Ramona School District 39-5,"220 W 2nd St, Ramona, SD  57054",191.87,Lake,152,0.0,0.9839,0.289,0.1429,"39,749 ",16.1,0.3837,,3,160.66666666666666,60116.0,1001.9333333333334,0.6666666666666666,12350.0,57054
105,60004,Parker School District 60-4,"335 W 1st St, Parker, SD  57053",137.91,Turner,441,0.02,0.9545,0.265,0.1345,"42,902 ",14.3,0.3474,21.4,13,156.0,63309.0,1055.15,1.0,8242.0,57053
106,33003,Parkston School District 33-3,"102C  S Chapman Dr, Parkston, SD  57366",307.3,Hutchinson,527,0.0,0.9675,0.386,0.0924,"44,937 ",16.0,0.1776,23.6,28,173.0,64498.333333333336,1074.9722216666667,0.0,7277.0,57366
107,32002,Pierre School District 32-2,"211 S Poplar Ave, Pierre, SD  57501",355.19,Hughes,2699,0.018000000000000002,0.9523,0.3,0.1297,"47,494 ",14.3,0.3192,23.2,131,174.0,59212.2,986.8699980000001,0.0,17572.0,57501
108,1001,Plankinton School District 01-1,"404 E Davenport St, Plankinton, SD  57368",277.18,Aurora,330,0.017,0.966,0.348,0.1686,"45,434 ",16.5,0.2775,21.3,15,178.83333333333334,64073.666666666664,1067.8944433333334,0.0,2739.0,57368
109,11005,Platte-Geddes School District 11-5,"400 Illinois Ave, Platte, SD  57369",631.32,Charles Mix,502,0.0,0.9657,0.321,0.1096,"46,690 ",15.8,0.1985,23.9,15,166.0,64132.6,1068.876666,0.0,9319.0,57369
110,51004,Rapid City Area School District 51-4,"300 6th St, Rapid City, SD  57701",420.31,Pennington,13655,0.032,0.9384,0.46,0.1504,"50,946 ",12.7,0.5206,22.0,530,163.8,62417.72,1040.2953328,0.0,108126.0,57701
111,56004,Redfield School District 56-4,"502 E 2nd St, Redfield, SD  57469",411.78,Spink,591,0.027999999999999997,0.9453,0.33,0.2034,"44,699 ",14.5,0.0596,23.0,24,168.33333333333334,61479.0,1007.9444450000001,0.0,6478.0,57469
