District Number,District Name,School Name,School Number,Calendar Name,Instructional Days,Instructional Minutes,Instructional Hours,Operating 4 Day
1001,Plankinton 01-1,Aurora Plains Academy Middle School,4,17-18 APA MS,191,64940,1082.33333,No
1001,Plankinton 01-1,Plankinton Elementary,2,17-18 Elem 4-6,184,66900,1115,No
1001,Plankinton 01-1,Plankinton Elementary,2,17-18 Elem K-3,169,58905,981.75,No
1001,Plankinton 01-1,Plankinton High School,1,17-18 HS,169,63710,1061.83333,No
1001,Plankinton 01-1,Plankinton Junior High,3,17-18 JH,169,63710,1061.83333,No
11005,Platte-Geddes 11-5,Cedar Grove Colony School,14,17-18 Cedar Grove Colony Schoo,166,62730,1045.5,No
11005,Platte-Geddes 11-5,Platte Colony School,10,17-18 Platte Colony School,166,62730,1045.5,No
11005,Platte-Geddes 11-5,Platte-Geddes Elem,2,17-18 Platte-Geddes Elem,166,64989,1083.15,No
11005,Platte-Geddes 11-5,Platte-Geddes H.S,1,17-18 Platte-Geddes H.S,166,65148,1085.8,No
11005,Platte-Geddes 11-5,Platte-Geddes Jr. Hi,3,17-18 Platte-Geddes Jr. Hi,166,65066,1084.43333,No
51004,Rapid City  Area 51-4,Black Hawk Elem,3,17-18 Black Hawk Elem,162,58145,969.08333,No
51004,Rapid City  Area 51-4,Canyon Lake Elem,4,17-18 Canyon Lake Elem,162,57340,955.66667,No
51004,Rapid City  Area 51-4,Central Hi Sch,41,17-18 Central Hi Sch,162,67000,1116.66667,No
51004,Rapid City  Area 51-4,Corral Drive Elem,21,17-18 Corral Drive Elem,162,61365,1022.75,No
51004,Rapid City  Area 51-4,East MS,30,17-18 East MS,162,61043,1017.38333,No
51004,Rapid City  Area 51-4,General Beadle Elem,1,17-18 General Beadle Elem,162,60560,1009.33333,No
51004,Rapid City  Area 51-4,Grandview Elem,6,17-18 Grandview Elem,162,62170,1036.16667,No
51004,Rapid City  Area 51-4,Horace Mann Elem,7,17-18 Horace Mann Elem,162,60560,1009.33333,No
51004,Rapid City  Area 51-4,Jefferson Building,64,17-18 Jefferson Building,207,91080,1518,No
51004,Rapid City  Area 51-4,Knollwood Heights Elem,8,17-18 Knollwood Heights Elem,162,62975,1049.58333,No
51004,Rapid City  Area 51-4,Lincoln Building,44,17-18 Lincoln Building,162,67950,1132.5,No
51004,Rapid City  Area 51-4,Meadowbrook Elem,10,17-18 Meadowbrook Elem,162,55730,928.83333,No
51004,Rapid City  Area 51-4,North Middle Sch,35,17-18 North Middle Sch,162,64907,1081.78333,No
51004,Rapid City  Area 51-4,Pinedale Elem,11,17-18 Pinedale Elem,162,60560,1009.33333,No
51004,Rapid City  Area 51-4,Rapid City HS,45,17-18 Rapid City HS,162,58950,982.5,No
51004,Rapid City  Area 51-4,Rapid Valley Elem,12,17-18 Rapid Valley Elem,162,61365,1022.75,No
51004,Rapid City  Area 51-4,Robbinsdale Elem,14,17-18 Robbinsdale Elem,162,61365,1022.75,No
51004,Rapid City  Area 51-4,South Canyon Elem,15,17-18 South Canyon Elem,162,58950,982.5,No
51004,Rapid City  Area 51-4,South Middle Sch,36,17-18 South Middle Sch,162,61043,1017.38333,No
51004,Rapid City  Area 51-4,South Park Elem,16,17-18 South Park Elem,162,61365,1022.75,No
51004,Rapid City  Area 51-4,Southwest Middle Sch,38,17-18 Southwest Middle Sch,162,60238,1003.96667,No
51004,Rapid City  Area 51-4,Stevens Hi Sch,42,17-18 Stevens Hi Sch,162,63619,1060.31667,No
51004,Rapid City  Area 51-4,Valley View Elem,13,17-18 Valley View Elem,162,59755,995.91667,No
51004,Rapid City  Area 51-4,West Middle Sch,37,17-18 West Middle Sch,162,61043,1017.38333,No
51004,Rapid City  Area 51-4,Woodrow Wilson Elem,17,17-18 Woodrow Wilson Elem,162,61365,1022.75,No
56004,Redfield 56-4,George S. Mickelson Alternative Elem,6,17-18 George S. Mickelson Alte,168,61454,924,No
56004,Redfield 56-4,George S. Mickelson Alternative HS,4,17-18 George S. Mickelson Alte,169,62205,1036.75,No
56004,Redfield 56-4,Redfield Elementary School,3, 17-18 Redfield Elementary K-2,169,59920,998.66667,No
56004,Redfield 56-4,Redfield Elementary School,3,17-18 Redfield Elementary ,168,59565,992.75,No
56004,Redfield 56-4,Redfield High School,1,17-18 Redfield High School,168,62865,1047.75,No
56004,Redfield 56-4,Redfield Middle School,2,17-18 Redfield Junior High Sch,168,62865,1047.75,No
54004,Rosholt 54-4,Rosholt Elementary,2,Rosholt Elementary 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,Rosholt High School,1,Rosholt High School 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,Rosholt Jr High,4,Rosholt Jr High 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,White Rock Colony Elem,3,White Rock Colony Elem 17-18,170,59685,994.75,No
39004,Rutland 39-4,Camridge Colony School,4,17-18 Camridge Colony School,165,58280,971.33,No
39004,Rutland 39-4,Rutland Elem,2,17-18 Rutland Elem,165,54525,908.75,No
39004,Rutland 39-4,Rutland Hi Sch,1,17-18 Rutland Hi Sch,165,58317,971.95,No
39004,Rutland 39-4,Rutland Jr Hi,3,17-18 Rutland Jr Hi,165,58317,971.95,No
54004,Rosholt 54-4,Rosholt Elementary,2,Rosholt Elementary 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,Rosholt High School,1,Rosholt High School 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,Rosholt Jr High,4,Rosholt Jr High 17-18,170,60040,1000.66667,No
54004,Rosholt 54-4,White Rock Colony Elem,3,White Rock Colony Elem 17-18,170,59685,994.75,No
55005,Sanborn Central 55-5,Sanborn Central Elementary,6,17-18 Sanborn Central Elementa,167,61190,1019.83333,No
55005,Sanborn Central 55-5,Sanborn Central High School,1,17-18 Sanborn Central High Sch,167,66095,1101.58333,No
55005,Sanborn Central 55-5,Sanborn Central Middle School,2,17-18 Sanborn Central Middle S,167,66095,1101.58333,No
55005,Sanborn Central 55-5,Upland Colony ,5, 17-18 Upland Colony K-5,167,58655,977.58333,No
